"eventId","Week","Year","Tour","EventName","Winner","WinnerPts","playerId","WorldRating","HomeRating","FieldStrength"
5459,3,2014,"EUR","Abu Dhabi HSBC Golf Championship","Pablo Larrazabal",48,9133,252,39,291
5460,3,2014,"ASA","King’s Cup Golf Hua Hin","Prayad Marksaeng",14,3990,6,5,11
5461,4,2014,"USA","Farmers Insurance Open","Scott Stallings",52,12359,340,31,371
5462,4,2014,"EUR","Commercialbank Qatar Masters","Sergio Garcia",44,5689,210,32,242
5463,5,2014,"USA","Waste Management Phoenix Open","Kevin Stadler",52,7602,343,24,367
5464,5,2014,"EUR","Omega Dubai Desert Classic","Stephen Gallacher",48,5647,262,45,307
5465,6,2014,"USA","AT&T Pebble Beach National Pro-Am","Jimmy Walker",44,7293,224,22,246
5466,6,2014,"EUR"|"AFR","Joburg Open","George Coetzee",20,10884,40,30,70
5467,6,2014,"ANZ","Lexus of Blackburn Victorian PGA Championship","Gareth Paddison",6,6397,,,
5468,7,2014,"USA","Northern Trust Open","Bubba Watson",56,7334,405,28,433
5469,7,2014,"WEB","Pacific Rubiales Colombia Championship Presented by Claro","Alex Cejka",14,4425,1,1,2
5470,7,2014,"EUR"|"AFR","Africa Open","Thomas Aiken",20,7679,14,11,25
5471,7,2014,"ANZ","Coca-Cola QLD PGA Championship","Anthony Summers",6,5233,1,1,2
5472,8,2014,"WGC","WGC - Accenture Match Play Championship","Jason Day",72,9771,635,55,690
5473,8,2014,"SAM","67th Arturo Calle Colombian Open presented by Diners Club","David Vanegas",6,13812,,,
5474,8,2014,"ANZ","Oates Victorian Open","Matthew Griffin",6,9780,1,1,2
5475,8,2014,"AFR","Dimension Data Pro-Am","Estanislao Goya",14,10877,8,6,14
5476,9,2014,"USA","The Honda Classic","Russell Henley",60,14578,455,39,494
5477,9,2014,"EUR"|"AFR","Tshwane Open","Ross Fisher",20,9396,37,28,65
5478,9,2014,"ANZ","NZ Open","Dimi Papadatos",16,15168,1,1,2
